,C4,grupo
71,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.7807781e-02, 1.2910827e-02, 1.3983807e-02, ..., 5.0193754e-16,
       3.8219349e-16, 7.2990053e-17], shape=(1025,), dtype=float32))",CV
72,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.0494601e-02, 4.2525297e-03, 4.5235367e-03, ..., 1.5963767e-16,
       1.4584403e-16, 9.8064002e-17], shape=(1025,), dtype=float32))",CV
73,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.5062822e-01, 1.7233311e-01, 9.0979666e-02, ..., 4.5955915e-16,
       3.3973475e-16, 1.5504406e-15], shape=(1025,), dtype=float32))",CV
74,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.0431890e-02, 3.6459193e-03, 1.4245615e-02, ..., 1.2955311e-16,
       3.4096594e-16, 8.5811704e-17], shape=(1025,), dtype=float32))",CV
75,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([3.2920851e-03, 1.3678689e-03, 1.8388345e-03, ..., 1.5255601e-16,
       1.5603723e-16, 1.2047912e-16], shape=(1025,), dtype=float32))",CV
76,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([8.0769556e-03, 2.5511333e-03, 5.5808518e-03, ..., 1.5205215e-16,
       2.5808673e-16, 7.9457798e-17], shape=(1025,), dtype=float32))",CV
77,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.0467643e+00, 4.4534874e-01, 4.8292300e-01, ..., 3.2466002e-15,
       6.0041602e-16, 4.6299145e-17], shape=(1025,), dtype=float32))",CV
78,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.9800318e-02, 1.7332342e-02, 2.4598144e-02, ..., 3.8074382e-16,
       6.1488557e-16, 5.2470849e-17], shape=(1025,), dtype=float32))",CV
79,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.3188289e-02, 8.7096114e-03, 5.9857746e-03, ..., 2.1495777e-16,
       1.9611218e-16, 1.6333372e-16], shape=(1025,), dtype=float32))",CV
80,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([9.9713420e-03, 4.4385400e-03, 5.9034182e-03, ..., 2.9366820e-16,
       2.0264861e-16, 5.5021517e-17], shape=(1025,), dtype=float32))",CV
81,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([3.2841170e-03, 1.4187836e-03, 1.9567672e-03, ..., 3.3382485e-17,
       4.2654270e-17, 1.9135690e-17], shape=(1025,), dtype=float32))",CV
82,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.6387956e-03, 1.1650369e-03, 2.0750302e-03, ..., 3.0523441e-17,
       4.3343311e-17, 5.3803119e-18], shape=(1025,), dtype=float32))",CV
83,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.9917988e-04, 1.7988907e-04, 1.5991952e-03, ..., 3.9974079e-17,
       2.9331997e-17, 1.2889974e-17], shape=(1025,), dtype=float32))",CV
84,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.8540757e-03, 9.3797874e-04, 2.7216086e-03, ..., 4.9598368e-17,
       3.1489780e-17, 2.3111143e-17], shape=(1025,), dtype=float32))",CV
85,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.9503605e-03, 1.1210350e-03, 3.4841611e-03, ..., 5.1500827e-17,
       2.3199971e-17, 1.6306044e-17], shape=(1025,), dtype=float32))",CV
